name,certificate,distribution,score,amount,Date,Extra,duration
Alias the Lone Wolf (1927),USA:Passed,...226....,5.4,5,USA:22-August-1927,,65
Alice in Wonderland: An X-Rated Musical Fantasy (1976),USA:R,0000012101,6.4,2531,USA:10-December-1976,,81
Alice in Wonderland: An X-Rated Musical Fantasy (1976),USA:R,0000012101,6.4,2531,USA:10-December-1976,,78
Alien Armageddon (2011),USA:R,5100000000,2.0,1025,USA:6-July-2011,(limited),95
Alien Armageddon (2011),USA:R,5100000000,2.0,1025,USA:1-August-2011,(TVpremiere),95
Alien Trespass (2009),USA:PG,0000121100,5.7,3331,USA:4-April-2009,(PhoenixFilmFestival),90
Alien Trespass (2009),USA:PG,0000121100,5.7,3331,USA:January-2009-,(PalmSpringsInternationalFilmFestival),90
Alien Trespass (2009),USA:PG,0000121100,5.7,3331,USA:3-April-2009,(limited),90
Aliens (1986),USA:R,0000001222,8.4,547487,USA:18-July-1986,,154
Aliens (1986),USA:R,0000001222,8.4,547487,USA:26-April-2016,(SanFranciscoInternationalFilmFestival),154
Aliens (1986),USA:R,0000001222,8.4,547487,USA:18-July-1986,,154
Aliens (1986),USA:R,0000001222,8.4,547487,USA:26-April-2016,(SanFranciscoInternationalFilmFestival),154
Alimony (1949),USA:Approved,0001321000,5.7,87,USA:11-June-1949,,70
